,Process_Name,Type,Definition,DataProperty,Concept,Synonymes,Relation,Object
10,COLLECT REQUIREMENTS,Has_inputs,the organizational process assets that can inﬂuence the collect requirements process include but are not limited to policies and procedures and historical information and lessons learned repository with information from previous projects. ,, organizational process assets ,",process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process,process,process,process,process,process,process,process,process,process,process",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,achieves,is,whatif,predict,update,update,reveal,occurs,complete,update,be",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,scope process,inﬂuence,activities process,activities process,inﬂuence,inﬂuence,schedule process,inﬂuence,inﬂuence,inﬂuence,inﬂuence control,consensus,schedule model,scenario analysis,project objectives,update project schedule,record progress,delivery dates,plan section,project work,update project costs,person"
11,DEFINE SCOPE,Has_inputs, the project charter provides the highlevel project description product characteristics and approval requirements. ,Section 4.1.3.1., project charter ,",project documents,project charter,project documents,project documents,project documents,project documents,project charter,project documents,project risks,project documents,project risks,project,project risks,project documents,project risks,project schedule,project,project documents,project calendar,project schedule,project charter,project charter,project documents,project costs,project documents,project schedule,project documents,project teams,project meetings,project participants,project work,project deliverables,project performance,project teams,project team,project team,software project,project duration,project manager,project team,project duration,project schedule,project schedule,project schedule,project performance,project schedule,project teams,project values,project,project managers,project,project team,project,project performance,project,project team,project manager,project managers,project managers,project performance,project,project schedule,project budget,project manager,project,project,matrix project,center project,project team,project teams,project charter,project documents,project team,project objectives,project documents,project documents,project performance,project documents,project schedule,project,project schedule,project,schedule project,project complexity,project milestones,project,project documents,project risks,project documents,project schedule,project schedule,project schedule,project calendar,project schedule,project documents,project schedule,project documents,project cost,project costs,project project,project,project work,project estimate,project documents,project budget,project documents,project performance,project documents",",be,provides,be,be,be,be,deﬁnes,be,impact,be,impact,is,impact,be,impact,perform,meet,be,allow,refers,provides,deﬁnes,be,be,be,includes,be,attend,develop,sponsors,involves,be,determine,hold,determines,determines,be,is,continues,hold,determine,be,address,deﬁnes,determine,require,hold,becomes,is,determine,is,is,ﬁnish,determine,progresses,develop,consider,builds,is,predicts,has,is,free,consider,is,is,programs,needs,perform,provides,contains,be,accomplish,create,be,be,result,be,manage,deliver,remain,adjust,generates,stop,indicates,has,be,impact,be,is,includes,be,allow,result,be,result,be,includes,manage,include,is,cover,be,be,be,be,result,be",",assumption log,description product,assumption log,inputs,register lessons,inputs,summary milestone schedule,inputs,impact project schedule,inputs,impact project schedule,people,availability,inputs,impact project schedule,project work,commitments,inputs,work periods,version,project costs,approval requirements,inputs,project budget,inputs,projects activities,inputs,project meetings,scope management plan,executives,wbs levels,project team,performance,planning meetings,determines,determines,delivery,amount,ﬁstofﬁve process,meetings,schedule ﬂexibility,schedule model,address impact,deﬁnes,performance,action,planning meetings,basis,funding entity,status,values,work,date,performance,project team,completion eac,eac,costs,risk scenarios,work,date,factor,resources,eac,work sv,cpi,cost center,test i,project teams,projects boundaries,level information,assumption log,project objectives,deliverables,nuassumption log,result,change request,result,changes,products services,project,knowledge,schedule examples,indicators impact,milestone,elaboration,result,impact project schedule,result,schedule model,start date,summary form,work periods,change requests,result,change requests,assumption log,processes,changes,work,schedule,work,activity level,assumption log,change control procedures,cost estimates,change request,assumption log"
12,DEFINE SCOPE,Has_inputs, a project management plan component includes but is not limited to the scope management plan as described in section ... which documents how the project scope will be deﬁned validated and controlled. ,Section 4.2.3.1., project management plan ,",scope management plan,management plan,management plan,management plan,conﬁguration management plan,scope management plan,project,project,schedule management plan,schedule management plan,risk management plan,risk management plan,cost management plan,quality management plan,cost management plan,resource management plan,management plan,cost management plan,project management team,project management team,project management team,project management team,project,project,project,project,project,project,project,scope management plan,scope management plan,management plan,project management team,management plan,plan,project,project management team,project,plan,schedule management plan,schedule management plan,schedule management plan,management plan,project,management plan,management plan,management plan,project cost management,project project,project,cost management plan,management plan,management plan,management plan,management plan",",contains,has,describes,describes,deﬁnes,describes,is,meet,establishes,provides,provides,provides,describes,describes,describes,provides,includes,describes,waits,determines,determines,determines,is,is,ﬁnish,progresses,has,is,is,is,be,is,control,goes,represents,deliver,selects,adjust,acknowledges,is,be,establish,specify,has,goes,goes,goes,consider,include,is,is,establish,points,goes,control",",project scope,project requirements,project requirements,project requirements,change control,scope,people,commitments,controlling schedule,processes,approach,processes,methods,activities,project costs,rates personnel,target beneﬁts,project costs,waits,determines,determines,dependencies,funding entity,values,date,project team,date,work sv,cpi,component,needs,component,project scope,control process,project,products services,scheduling method,knowledge,work,component,needs,model development,nuevm techniques,elaboration,control process,control process,control process,project decisions,work,schedule,component,units,control accounts,control process,projects cost"
13,DEFINE SCOPE,Has_inputs,examples of project documents that can be considered as inputs for this process include but are not limited to assumption log. the assumption log identiﬁes assumptions and constraints about the product project environment stakeholders and other factors that can inﬂuence the project and product scope. requirements documentation. described in section .... requirements documentation identiﬁes requirements that will be incorporated into the scope. risk register. the risk register contains response strategies that may affect the project scope such as reducing or changing project and product scope to avoid or mitigate a risk. ,Section 4.1.3.2. Section 11.2.3.1., project documents ,",project documents,project charter,project documents,plan documents,project documents,project documents,project documents,project charter,project documents,project risks,project documents,project risks,project,project risks,project documents,project risks,project schedule,project,project documents,project calendar,project schedule,project charter,project charter,project documents,project costs,project documents,project schedule,business documents,project documents,project teams,project meetings,project participants,project work,project deliverables,project performance,project teams,project team,project team,software project,project duration,project manager,project team,project duration,project schedule,project schedule,project schedule,project performance,project schedule,project teams,project values,project,project managers,project,project team,project,project performance,project,project team,project manager,project managers,project managers,project performance,project,project schedule,project budget,project manager,project,project,matrix project,center project,project team,project teams,project charter,project documents,project team,project objectives,project documents,project documents,project performance,project documents,project schedule,project,project schedule,project,schedule project,project complexity,project milestones,project,project documents,project risks,project documents,project schedule,project schedule,project schedule,project calendar,project schedule,project documents,project schedule,project documents,project cost,project costs,business documents,project project,project,project work,project estimate,project documents,project budget,project documents,project performance,project documents",",be,provides,be,be,be,be,be,deﬁnes,be,impact,be,impact,is,impact,be,impact,perform,meet,be,allow,refers,provides,deﬁnes,be,be,be,includes,be,be,attend,develop,sponsors,involves,be,determine,hold,determines,determines,be,is,continues,hold,determine,be,address,deﬁnes,determine,require,hold,becomes,is,determine,is,is,ﬁnish,determine,progresses,develop,consider,builds,is,predicts,has,is,free,consider,is,is,programs,needs,perform,provides,contains,be,accomplish,create,be,be,result,be,manage,deliver,remain,adjust,generates,stop,indicates,has,be,impact,be,is,includes,be,allow,result,be,result,be,includes,manage,factors,include,is,cover,be,be,be,be,result,be",",assumption log,description product,assumption log,project scope statement,inputs,register lessons,inputs,summary milestone schedule,inputs,impact project schedule,inputs,impact project schedule,people,availability,inputs,impact project schedule,project work,commitments,inputs,work periods,version,project costs,approval requirements,inputs,project budget,inputs,projects activities,business case,inputs,project meetings,scope management plan,executives,wbs levels,project team,performance,planning meetings,determines,determines,delivery,amount,ﬁstofﬁve process,meetings,schedule ﬂexibility,schedule model,address impact,deﬁnes,performance,action,planning meetings,basis,funding entity,status,values,work,date,performance,project team,completion eac,eac,costs,risk scenarios,work,date,factor,resources,eac,work sv,cpi,cost center,test i,project teams,projects boundaries,level information,assumption log,project objectives,deliverables,nuassumption log,result,change request,result,changes,products services,project,knowledge,schedule examples,indicators impact,milestone,elaboration,result,impact project schedule,result,schedule model,start date,summary form,work periods,change requests,result,change requests,assumption log,processes,changes,factors factors,work,schedule,work,activity level,assumption log,change control procedures,cost estimates,change request,assumption log"
14,DEFINE SCOPE,Has_inputs,the enterprise environmental factors that can inﬂuence the deﬁne scope process include but are not limited to organizations culture infrastructure personnel administration and marketplace conditions. ,, enterprise environmental factors ,",enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,activities process,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence"
15,DEFINE SCOPE,Has_inputs,the organizational process assets that can inﬂuence the deﬁne scope process include but are not limited to policies procedures and templates for a project scope statement project ﬁles from previous projects and lessons learned from previous phases or projects. part guide ,, organizational process assets ,",process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process,process,process,process,process,process,process,process,process,process,process",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,achieves,is,whatif,predict,update,update,reveal,occurs,complete,update,be",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,scope process,inﬂuence,activities process,activities process,inﬂuence,inﬂuence,schedule process,inﬂuence,inﬂuence,inﬂuence,inﬂuence control,consensus,schedule model,scenario analysis,project objectives,update project schedule,record progress,delivery dates,plan section,project work,update project costs,person"
16,CREATE WBS,Has_inputs,a project management plan component includes but is not limited to the scope management plan. described in section ... the scope management plan documents how the wbs will be created from the project scope statement. ,, project management plan ,",scope management plan,management plan,management plan,management plan,conﬁguration management plan,scope management plan,project,project,schedule management plan,schedule management plan,risk management plan,risk management plan,cost management plan,quality management plan,cost management plan,resource management plan,management plan,cost management plan,project management team,project management team,project management team,project management team,project,project,project,project,project,project,project,scope management plan,scope management plan,management plan,project management team,management plan,plan,project,project management team,project,plan,schedule management plan,schedule management plan,schedule management plan,management plan,project,management plan,management plan,management plan,project cost management,project project,project,cost management plan,management plan,management plan,management plan,management plan",",contains,has,describes,describes,deﬁnes,describes,is,meet,establishes,provides,provides,provides,describes,describes,describes,provides,includes,describes,waits,determines,determines,determines,is,is,ﬁnish,progresses,has,is,is,is,be,is,control,goes,represents,deliver,selects,adjust,acknowledges,is,be,establish,specify,has,goes,goes,goes,consider,include,is,is,establish,points,goes,control",",project scope,project requirements,project requirements,project requirements,change control,scope,people,commitments,controlling schedule,processes,approach,processes,methods,activities,project costs,rates personnel,target beneﬁts,project costs,waits,determines,determines,dependencies,funding entity,values,date,project team,date,work sv,cpi,component,needs,component,project scope,control process,project,products services,scheduling method,knowledge,work,component,needs,model development,nuevm techniques,elaboration,control process,control process,control process,project decisions,work,schedule,component,units,control accounts,control process,projects cost"
17,CREATE WBS,Has_inputs,examples of project documents that can be considered as inputs for this process include but are not limited to project scope statement. the project scope statement describes the work that will be performed and the work that is excluded. requirements documentation. detailed requirements describe how individual requirements meet the business need for the project. ,Section 5.3.3.1. Section 5.2.3.1., project documents ,",project documents,project charter,project documents,plan documents,project documents,project documents,project documents,project charter,project documents,project risks,project documents,project risks,project,project risks,project documents,project risks,project schedule,project,project documents,project calendar,project schedule,project charter,project charter,project documents,project costs,project documents,project schedule,business documents,project documents,project teams,project meetings,project participants,project work,project deliverables,project performance,project teams,project team,project team,software project,project duration,project manager,project team,project duration,project schedule,project schedule,project schedule,project performance,project schedule,project teams,project values,project,project managers,project,project team,project,project performance,project,project team,project manager,project managers,project managers,project performance,project,project schedule,project budget,project manager,project,project,matrix project,center project,project team,project teams,project charter,project documents,project team,project objectives,project documents,project documents,project performance,project documents,project schedule,project,project schedule,project,schedule project,project complexity,project milestones,project,project documents,project risks,project documents,project schedule,project schedule,project schedule,project calendar,project schedule,project documents,project schedule,project documents,project cost,project costs,business documents,project project,project,project work,project estimate,project documents,project budget,project documents,project performance,project documents",",be,provides,be,be,be,be,be,deﬁnes,be,impact,be,impact,is,impact,be,impact,perform,meet,be,allow,refers,provides,deﬁnes,be,be,be,includes,be,be,attend,develop,sponsors,involves,be,determine,hold,determines,determines,be,is,continues,hold,determine,be,address,deﬁnes,determine,require,hold,becomes,is,determine,is,is,ﬁnish,determine,progresses,develop,consider,builds,is,predicts,has,is,free,consider,is,is,programs,needs,perform,provides,contains,be,accomplish,create,be,be,result,be,manage,deliver,remain,adjust,generates,stop,indicates,has,be,impact,be,is,includes,be,allow,result,be,result,be,includes,manage,factors,include,is,cover,be,be,be,be,result,be",",assumption log,description product,assumption log,project scope statement,inputs,register lessons,inputs,summary milestone schedule,inputs,impact project schedule,inputs,impact project schedule,people,availability,inputs,impact project schedule,project work,commitments,inputs,work periods,version,project costs,approval requirements,inputs,project budget,inputs,projects activities,business case,inputs,project meetings,scope management plan,executives,wbs levels,project team,performance,planning meetings,determines,determines,delivery,amount,ﬁstofﬁve process,meetings,schedule ﬂexibility,schedule model,address impact,deﬁnes,performance,action,planning meetings,basis,funding entity,status,values,work,date,performance,project team,completion eac,eac,costs,risk scenarios,work,date,factor,resources,eac,work sv,cpi,cost center,test i,project teams,projects boundaries,level information,assumption log,project objectives,deliverables,nuassumption log,result,change request,result,changes,products services,project,knowledge,schedule examples,indicators impact,milestone,elaboration,result,impact project schedule,result,schedule model,start date,summary form,work periods,change requests,result,change requests,assumption log,processes,changes,factors factors,work,schedule,work,activity level,assumption log,change control procedures,cost estimates,change request,assumption log"
18,CREATE WBS,Has_inputs,the enterprise environmental factors that can inﬂuence the create wbs process include but are not limited to industryspeciﬁc wbs standards that are relevant to the nature of the project. these industryspeciﬁc standards may serve as external reference sources for creating the wbs. ,, enterprise environmental factors ,",enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,activities process,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence"
19,CREATE WBS,Has_inputs, the organizational process assets that can inﬂuence the create wbs process include but are not limited to policies procedures and templates for the wbs project ﬁles from previous projects and lessons learned from previous projects. ,, organizational process assets ,",process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process,process,process,process,process,process,process,process,process,process,process",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,achieves,is,whatif,predict,update,update,reveal,occurs,complete,update,be",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,scope process,inﬂuence,activities process,activities process,inﬂuence,inﬂuence,schedule process,inﬂuence,inﬂuence,inﬂuence,inﬂuence control,consensus,schedule model,scenario analysis,project objectives,update project schedule,record progress,delivery dates,plan section,project work,update project costs,person"
20,VALIDATE SCOPE,Has_inputs, project management plan components include but are not limited to scope management plan. the project management plan speciﬁes how formal acceptance of the completed project deliverables will be obtained. requirements management plan. the requirements management plan describes how the project requirements are validated. scope baseline. the scope baseline is compared to actual results to determine if a change corrective action or preventive action is necessary. ,Section 4.2.3.1. Section 5.1.3.1. Section 5.1.3.2. Section 5.4.3.1., project management plan ,",scope management plan,management plan,management plan,management plan,conﬁguration management plan,scope management plan,project,project,schedule management plan,schedule management plan,risk management plan,risk management plan,cost management plan,quality management plan,cost management plan,resource management plan,management plan,cost management plan,project management team,project management team,project management team,project management team,project,project,project,project,project,project,project,scope management plan,scope management plan,management plan,project management team,management plan,plan,project,project management team,project,plan,schedule management plan,schedule management plan,schedule management plan,management plan,project,management plan,management plan,management plan,project cost management,project project,project,cost management plan,management plan,management plan,management plan,management plan",",contains,has,describes,describes,deﬁnes,describes,is,meet,establishes,provides,provides,provides,describes,describes,describes,provides,includes,describes,waits,determines,determines,determines,is,is,ﬁnish,progresses,has,is,is,is,be,is,control,goes,represents,deliver,selects,adjust,acknowledges,is,be,establish,specify,has,goes,goes,goes,consider,include,is,is,establish,points,goes,control",",project scope,project requirements,project requirements,project requirements,change control,scope,people,commitments,controlling schedule,processes,approach,processes,methods,activities,project costs,rates personnel,target beneﬁts,project costs,waits,determines,determines,dependencies,funding entity,values,date,project team,date,work sv,cpi,component,needs,component,project scope,control process,project,products services,scheduling method,knowledge,work,component,needs,model development,nuevm techniques,elaboration,control process,control process,control process,project decisions,work,schedule,component,units,control accounts,control process,projects cost"
